epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6711,0.88852,0.68846,1.59753,0.84224,0.8065,0.87066,0.71877,0.90621,0.84878,1.83473,0.0836107,0.000165548,0.000165548
2,71.558,0.8446,0.66437,1.59553,0.84594,0.79168,0.85972,0.71482,0.86113,0.87881,1.79363,0.0671107,0.000332179,0.000332179
3,105.16,0.8409,0.6675,1.58686,0.8487,0.79799,0.86045,0.72079,0.86426,0.91537,1.83397,0.0506105,0.000498665,0.000498665
4,139.033,0.84146,0.66513,1.60287,0.83023,0.80016,0.86927,0.72212,0.84183,0.87764,1.77768,0.0341101,0.000664898,0.000664898
5,172.856,0.83434,0.66243,1.5896,0.84173,0.80547,0.86576,0.72106,0.84505,0.87569,1.78544,0.0176093,0.00083077,0.00083077
6,206.584,0.84764,0.67388,1.59319,0.83355,0.79197,0.84847,0.70765,0.86207,0.95741,1.79944,0.00110803,0.000996173,0.000996173
7,240.271,0.84774,0.66797,1.61329,0.82266,0.82002,0.87448,0.72684,0.82572,0.84377,1.77663,0.000996097,0.000996097,0.000996097
8,274.087,0.84894,0.67308,1.61176,0.85619,0.79047,0.87381,0.73206,0.85141,0.93591,1.80803,0.00099469,0.00099469,0.00099469
9,307.897,0.84923,0.66117,1.60104,0.81574,0.81068,0.85679,0.70413,0.8682,0.87008,1.81372,0.000993068,0.000993068,0.000993068
10,341.671,0.84505,0.66728,1.59797,0.84748,0.81019,0.86982,0.72818,0.82803,0.86542,1.76605,0.000991232,0.000991232,0.000991232
11,375.491,0.85455,0.67018,1.595,0.84154,0.79914,0.86973,0.72042,0.82976,0.84532,1.76637,0.000989183,0.000989183,0.000989183
12,409.461,0.82576,0.64672,1.58221,0.84865,0.80294,0.86452,0.73073,0.85131,0.86474,1.80035,0.000986922,0.000986922,0.000986922
13,443.294,0.82458,0.65467,1.60007,0.8525,0.81294,0.86685,0.72392,0.8271,0.82609,1.77288,0.000984449,0.000984449,0.000984449
14,477.174,0.83282,0.65304,1.59594,0.85445,0.80921,0.87066,0.72275,0.85481,0.87024,1.80316,0.000981765,0.000981765,0.000981765
15,510.907,0.8258,0.64492,1.58531,0.84988,0.80055,0.86386,0.72067,0.8314,0.85697,1.78282,0.000978873,0.000978873,0.000978873
16,544.822,0.81665,0.63598,1.57904,0.85939,0.81265,0.87212,0.73016,0.82812,0.83866,1.80243,0.000975773,0.000975773,0.000975773
17,578.665,0.82068,0.64246,1.56815,0.85641,0.81067,0.87532,0.73474,0.83546,0.83353,1.7992,0.000972466,0.000972466,0.000972466
18,612.694,0.81753,0.64906,1.58567,0.85866,0.80778,0.8687,0.72859,0.81364,0.82975,1.77578,0.000968955,0.000968955,0.000968955
19,646.544,0.80843,0.63064,1.56469,0.84558,0.81648,0.86852,0.72805,0.82035,0.84856,1.77061,0.000965239,0.000965239,0.000965239
20,680.42,0.80701,0.62917,1.56217,0.85178,0.80744,0.8717,0.73212,0.84533,0.87797,1.77849,0.000961322,0.000961322,0.000961322
21,714.241,0.81395,0.63768,1.57815,0.8454,0.79704,0.86724,0.72091,0.85769,0.92103,1.81931,0.000957205,0.000957205,0.000957205
22,748.135,0.79931,0.62337,1.56695,0.87447,0.80294,0.87901,0.73707,0.83366,0.8464,1.7883,0.000952889,0.000952889,0.000952889
23,782.025,0.80544,0.63119,1.56044,0.85279,0.80904,0.87083,0.72857,0.82947,0.86251,1.78041,0.000948377,0.000948377,0.000948377
24,815.977,0.80208,0.62505,1.56222,0.86936,0.79799,0.88206,0.73553,0.83175,0.85385,1.7863,0.000943671,0.000943671,0.000943671
25,849.828,0.80199,0.62905,1.55511,0.83569,0.81432,0.86899,0.72949,0.80836,0.83745,1.76381,0.000938772,0.000938772,0.000938772
26,883.692,0.80281,0.62712,1.55067,0.84799,0.812,0.87124,0.73051,0.82341,0.85726,1.7719,0.000933683,0.000933683,0.000933683
27,917.355,0.80041,0.62948,1.55634,0.8477,0.81629,0.87732,0.73759,0.81351,0.83203,1.76134,0.000928405,0.000928405,0.000928405
28,951.329,0.78698,0.61491,1.57132,0.84276,0.81098,0.86469,0.72869,0.83508,0.8402,1.78951,0.000922942,0.000922942,0.000922942
29,985.247,0.78509,0.61168,1.55278,0.86172,0.80408,0.87205,0.73288,0.82557,0.84826,1.77747,0.000917296,0.000917296,0.000917296
30,1019.12,0.79448,0.61814,1.54908,0.8418,0.79386,0.86491,0.72753,0.81831,0.87436,1.7727,0.000911469,0.000911469,0.000911469
31,1052.98,0.78013,0.59852,1.55584,0.84593,0.81668,0.87084,0.72923,0.8317,0.83613,1.76649,0.000905463,0.000905463,0.000905463
32,1086.9,0.7871,0.61112,1.55662,0.84975,0.81318,0.867,0.72814,0.81429,0.79883,1.75897,0.000899282,0.000899282,0.000899282
33,1120.67,0.77422,0.6058,1.5334,0.85947,0.80625,0.87722,0.73767,0.82258,0.83097,1.76834,0.000892928,0.000892928,0.000892928
34,1154.46,0.77399,0.60622,1.53674,0.86786,0.80134,0.87158,0.72912,0.81943,0.80776,1.77406,0.000886404,0.000886404,0.000886404
35,1188.06,0.77037,0.59346,1.54806,0.85568,0.80468,0.86692,0.73087,0.83616,0.87329,1.79663,0.000879713,0.000879713,0.000879713
36,1221.86,0.76562,0.59287,1.54395,0.8541,0.81255,0.87596,0.73712,0.80579,0.79828,1.78133,0.000872857,0.000872857,0.000872857
37,1255.56,0.77896,0.60516,1.53263,0.85951,0.79622,0.86678,0.73294,0.81246,0.85584,1.78374,0.000865839,0.000865839,0.000865839
38,1289.36,0.7678,0.59464,1.53825,0.85776,0.80704,0.87073,0.73805,0.80527,0.84675,1.76565,0.000858664,0.000858664,0.000858664
39,1323.13,0.7709,0.5987,1.5302,0.84925,0.81998,0.8782,0.73729,0.80378,0.79243,1.76092,0.000851333,0.000851333,0.000851333
40,1357.12,0.76428,0.58859,1.53005,0.84759,0.81353,0.87124,0.73595,0.82237,0.81457,1.77321,0.000843851,0.000843851,0.000843851
41,1390.95,0.7534,0.58726,1.55245,0.85132,0.80867,0.86576,0.73538,0.80144,0.83187,1.76744,0.00083622,0.00083622,0.00083622
