epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6714,0.7992,0.67676,1.73858,0.83322,0.81766,0.86908,0.72944,0.83236,0.84907,1.96358,0.0005,0.0005,0.0005
2,156.252,0.7782,0.64478,1.72084,0.84298,0.79032,0.8546,0.72048,0.84455,0.92788,1.96214,0.000498644,0.000498644,0.000498644
3,232.643,0.75598,0.6198,1.69348,0.83736,0.81625,0.86757,0.73081,0.83354,0.84921,1.95741,0.000494592,0.000494592,0.000494592
4,309.27,0.74877,0.60807,1.69473,0.84675,0.81393,0.8655,0.73001,0.82091,0.87562,1.96033,0.000487886,0.000487886,0.000487886
5,385.792,0.74229,0.59939,1.67311,0.83051,0.81275,0.86019,0.72405,0.82438,0.87942,1.95889,0.000478603,0.000478603,0.000478603
6,462.583,0.7364,0.59097,1.67224,0.8433,0.81373,0.86845,0.73417,0.8081,0.86746,1.94598,0.000466841,0.000466841,0.000466841
7,539.284,0.72609,0.58552,1.65522,0.83209,0.83635,0.87227,0.73695,0.81654,0.83459,1.94467,0.000452732,0.000452732,0.000452732
8,615.928,0.74,0.59238,1.66738,0.82616,0.81421,0.85753,0.72193,0.8347,0.90382,1.95798,0.000436428,0.000436428,0.000436428
9,692.258,0.71463,0.57034,1.65465,0.84853,0.80436,0.86417,0.7372,0.79995,0.86946,1.95408,0.00041811,0.00041811,0.00041811
10,768.835,0.71247,0.56556,1.6549,0.85092,0.80507,0.86627,0.73373,0.8267,0.85874,1.96574,0.000397977,0.000397977,0.000397977
11,845.021,0.70927,0.56781,1.64981,0.8505,0.81688,0.87217,0.73779,0.80495,0.85624,1.97975,0.00037625,0.00037625,0.00037625
12,921.882,0.70414,0.56112,1.65197,0.85505,0.80987,0.86674,0.73418,0.80519,0.86132,1.93351,0.000353167,0.000353167,0.000353167
13,998.39,0.70109,0.55842,1.64722,0.8489,0.82946,0.86849,0.73813,0.79607,0.83876,1.95264,0.000328982,0.000328982,0.000328982
14,1074.95,0.69818,0.55,1.62544,0.85311,0.82248,0.87277,0.7416,0.80276,0.83154,1.94643,0.000303958,0.000303958,0.000303958
15,1151.71,0.70141,0.55362,1.63914,0.85592,0.80862,0.87026,0.7394,0.7933,0.83861,1.9379,0.000278371,0.000278371,0.000278371
16,1228.2,0.68861,0.54188,1.62812,0.85272,0.81471,0.87114,0.74141,0.79722,0.83026,1.93944,0.0002525,0.0002525,0.0002525
17,1305.16,0.68632,0.54625,1.61292,0.84882,0.80704,0.86833,0.73967,0.79968,0.86323,1.92842,0.000226629,0.000226629,0.000226629
18,1381.87,0.68578,0.54352,1.60827,0.8547,0.80527,0.86539,0.74009,0.78745,0.86293,1.92704,0.000201042,0.000201042,0.000201042
19,1458.45,0.68469,0.53992,1.61132,0.86339,0.7894,0.86034,0.73405,0.79847,0.88533,1.94177,0.000176018,0.000176018,0.000176018
20,1534.83,0.67935,0.53727,1.61268,0.8404,0.82573,0.87062,0.7419,0.79656,0.84936,1.934,0.000151833,0.000151833,0.000151833
21,1611.98,0.64342,0.47133,1.5476,0.86066,0.81159,0.87364,0.74438,0.79405,0.85579,1.93976,0.00012875,0.00012875,0.00012875
22,1687.91,0.63959,0.4694,1.55209,0.85363,0.81452,0.86941,0.74382,0.79244,0.85493,1.94041,0.000107023,0.000107023,0.000107023
23,1763.51,0.6316,0.46119,1.55328,0.8516,0.81835,0.86966,0.74347,0.79067,0.85927,1.95004,8.68902e-05,8.68902e-05,8.68902e-05
24,1839.03,0.62736,0.45982,1.53597,0.84553,0.82612,0.87016,0.74151,0.79376,0.85507,1.94796,6.85717e-05,6.85717e-05,6.85717e-05
25,1914.73,0.62652,0.45557,1.53027,0.8534,0.81688,0.86821,0.74176,0.78958,0.84737,1.93517,5.22683e-05,5.22683e-05,5.22683e-05
26,1990.2,0.62753,0.45281,1.53422,0.86012,0.80842,0.86797,0.74094,0.79138,0.85839,1.93991,3.81587e-05,3.81587e-05,3.81587e-05
27,2066.16,0.62266,0.45241,1.52575,0.85877,0.81211,0.86829,0.74133,0.7919,0.8556,1.94778,2.63975e-05,2.63975e-05,2.63975e-05
28,2141.8,0.6203,0.44992,1.51633,0.86439,0.8037,0.86825,0.74171,0.79449,0.86411,1.94722,1.71135e-05,1.71135e-05,1.71135e-05
29,2217.48,0.61312,0.44015,1.51515,0.8594,0.80916,0.86772,0.74138,0.79293,0.86361,1.95164,1.04085e-05,1.04085e-05,1.04085e-05
30,2293.47,0.6195,0.44861,1.50949,0.85514,0.81514,0.86731,0.74086,0.79069,0.86053,1.94351,6.35583e-06,6.35583e-06,6.35583e-06
